pmcid,one health,one medicine,animal,human,environment,ecosystem,ecohealth,antimicrobial resistance,antibiotic resistance,drug resistance,multidrug resistance,resistance,amr,arb,ar,mdr,dairy,cow,beef,cattle,poultry,swine,chicken,pig,turkey,fish,porcine,bovine,soil,agriculture,wastewater,pharmaceutical,drinking water,groundwater,surface water,compost,manure,biosolids,aquaculture
PMC1636438,0,0,0,23,0,0,0,0,0,3,0,21,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1637226,0,0,1,15,9,0,0,0,0,0,0,7,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1657072,0,0,0,8,0,0,0,0,0,0,0,10,0,0,89,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC166162,0,0,0,7,1,0,0,0,0,0,0,3,0,1,148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1665246,0,0,0,12,1,0,0,0,0,0,0,4,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1665650,0,0,55,14,1,0,0,0,0,0,0,25,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1687208,0,0,0,4,0,0,0,0,0,1,0,2,0,0,210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1713262,0,0,2,5,0,0,0,0,0,2,1,4,0,0,407,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1761139,0,0,0,9,0,0,0,0,0,3,2,18,0,1,206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1764436,0,0,8,6,1,0,0,0,0,5,0,10,0,5,293,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
PMC1770916,0,0,0,14,0,0,0,0,0,0,0,10,0,0,275,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
PMC1781065,0,0,0,8,0,0,0,0,0,0,0,6,0,1,143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC17816,0,0,0,8,8,0,0,0,0,0,0,0,1,1,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1796909,0,0,11,54,0,0,0,0,0,0,0,5,0,1,117,0,0,0,0,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1797194,0,0,20,5,2,0,0,0,0,0,0,0,0,4,175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
PMC1800852,0,0,1,55,6,0,0,0,0,0,0,5,0,2,260,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1804205,0,0,2,1,7,0,0,0,0,0,0,15,0,13,163,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
PMC1808489,0,0,1,11,11,0,0,0,0,7,7,15,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1817653,0,0,1,49,1,0,0,0,0,29,8,71,0,3,318,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1819562,0,0,4,9,2,0,0,11,1,8,2,37,0,1,106,29,0,0,3,1,2,0,3,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,1
PMC1838825,0,0,27,30,2,0,0,0,0,0,0,13,0,21,313,0,0,6,3,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
PMC1851384,0,0,0,21,0,0,0,0,0,2,0,2,0,4,229,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
PMC1852546,0,0,5,6,21,1,0,0,0,0,0,33,0,4,221,0,0,1,0,0,0,0,3,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
PMC1852562,0,0,0,28,1,0,0,0,0,0,0,9,0,0,199,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PMC1857714,0,0,1,26,0,0,0,0,0,0,0,4,0,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1865086,0,0,0,16,0,0,0,0,0,0,0,19,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
PMC1866790,0,0,0,1,2,0,0,0,0,0,0,0,0,0,93,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1868758,0,0,1,1,18,1,0,0,0,0,0,9,0,22,307,1,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,1,0,0,0,0
PMC1874614,0,0,0,12,0,0,0,0,0,0,0,2,0,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1885262,0,0,0,9,0,0,0,1,1,1,1,9,0,2,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1887539,0,0,0,24,0,0,0,0,0,11,0,22,0,7,447,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1892109,0,0,4,26,13,0,0,0,0,0,0,39,0,1,196,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1894639,0,0,3,30,0,0,0,0,0,0,0,1,0,1,196,0,0,0,0,0,0,3,0,40,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
PMC1904457,0,0,0,18,3,0,0,0,0,1,0,13,0,3,213,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1913601,0,0,9,9,9,0,0,3,1,0,0,15,0,1,120,0,0,0,0,0,43,1,15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
PMC1920555,0,0,3,0,25,0,0,0,0,2,0,38,0,2,307,0,0,1,0,0,0,0,0,10,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0
PMC1925093,0,0,0,1,6,0,0,0,0,0,0,21,0,22,564,2,0,0,0,0,0,0,0,8,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0
PMC1933452,0,0,1,9,0,0,0,0,0,1,1,61,0,11,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC193616,0,0,2,15,1,0,0,0,0,0,0,1,0,0,251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1941749,0,0,76,21,0,0,0,0,0,0,0,1,4,0,388,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1947950,0,0,7,16,1,0,0,0,0,0,0,16,0,95,361,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1949410,0,0,2,8,16,0,0,0,0,0,0,4,0,1,158,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1950945,0,0,0,68,0,0,0,0,0,1,0,20,0,1,218,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
PMC1955438,0,0,3,7,0,0,0,0,0,0,0,9,0,1,365,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC1968234,0,0,9,29,0,0,0,0,0,6,1,88,0,44,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1968300,0,0,0,17,0,0,0,0,0,10,4,48,0,1,97,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
PMC1968438,0,0,0,18,0,0,0,0,0,0,0,9,0,1,113,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1968485,0,0,0,21,0,0,0,0,0,0,0,3,0,7,94,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1968549,0,0,0,48,0,0,0,0,0,30,12,53,0,8,257,3,0,7,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0
PMC1968640,0,0,1,32,3,0,0,0,0,0,0,1,0,0,168,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1968750,0,0,0,11,0,0,0,0,0,2,1,29,0,3,89,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1968902,0,0,0,16,1,0,0,0,0,1,0,4,0,17,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1971120,0,0,2,6,0,0,0,0,0,0,0,26,0,1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1971382,0,0,1,28,0,0,0,0,0,0,0,7,0,1,127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1971628,0,0,0,19,0,0,0,0,0,9,4,32,0,3,155,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1971671,0,0,0,22,0,0,0,0,0,2,1,4,0,2,79,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1971764,0,0,0,13,0,0,0,0,0,9,2,15,0,7,117,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1971839,0,0,0,17,0,0,0,0,0,11,8,21,0,3,140,17,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1972545,0,0,0,23,0,0,0,0,0,14,5,56,0,1,187,11,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
PMC1974803,0,0,2,10,8,0,0,0,0,0,0,41,0,5,609,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1976392,0,0,0,12,0,0,0,0,6,0,0,16,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1976780,0,0,3,19,0,0,0,0,0,10,0,45,0,1,101,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1977122,0,0,3,2,0,0,0,0,0,4,1,31,0,4,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1977342,0,0,1,7,0,0,0,0,0,11,11,37,0,1,242,103,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1977526,0,0,0,17,0,0,0,0,0,12,5,72,0,3,184,24,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PMC1977668,0,0,0,30,0,0,0,0,0,14,6,52,0,4,212,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC1977717,0,0,0,42,1,0,0,0,0,17,13,37,0,0,189,106,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
PMC1977821,0,0,0,23,0,0,0,0,0,0,0,3,0,6,203,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
PMC1978000,0,0,0,25,0,0,0,0,0,1,0,16,0,2,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC1991587,0,0,4,9,17,0,0,0,0,1,0,17,1,11,133,0,0,1,0,0,3,0,2,1,0,2,0,0,0,0,1,6,0,0,1,0,1,0,0
PMC1995221,0,0,6,24,1,0,0,0,2,2,0,18,1,1,454,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC2001213,0,0,0,8,4,0,0,0,0,7,7,9,0,8,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2001423,0,0,1,17,0,0,0,0,0,7,2,48,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PMC2001662,0,0,2,34,0,0,0,0,0,1,0,7,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC2001838,0,0,2,30,0,0,0,0,0,12,0,38,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PMC2009987,0,0,27,1,0,0,0,0,0,0,0,1,1,0,241,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2010732,0,0,1,21,0,0,0,0,0,0,0,8,0,8,162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC2022650,0,0,24,15,7,0,0,0,0,0,0,5,0,7,170,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC2025249,0,0,31,0,0,0,0,0,0,0,0,5,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2033319,0,0,0,28,0,0,0,0,0,5,1,7,0,1,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC2033360,0,0,0,30,0,0,0,0,0,10,7,33,0,4,144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2033439,0,0,1,44,2,0,0,0,0,22,8,58,1,3,179,21,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC2033570,0,0,0,5,3,0,0,0,0,15,11,21,0,3,56,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2033635,0,0,1,13,0,0,0,0,1,14,2,19,0,7,126,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2033730,0,0,0,55,0,0,0,0,0,9,6,87,0,1,202,20,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
PMC2033779,0,0,0,24,0,0,0,0,0,3,0,29,0,3,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PMC2033908,0,0,2,20,2,0,0,0,0,1,0,5,0,1,153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2033977,0,0,0,26,0,0,0,0,0,38,24,97,1,4,199,126,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2034080,0,0,3,20,2,0,0,0,0,10,0,31,0,1,165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMC2034471,0,0,0,8,2,0,0,0,0,0,0,8,0,5,278,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2041971,0,0,3,22,1,0,0,0,0,0,0,3,0,3,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2045676,0,0,0,27,0,0,0,0,0,3,0,6,1,3,282,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2062955,0,0,0,11,0,0,0,0,0,4,0,25,0,5,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMC2063025,0,0,0,40,0,0,0,0,0,8,3,45,2,8,271,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
